import time: self [us] | cumulative | imported package
import time:      2363 |       3998 |   modular_app.core.stitch_controller
import time:      1033 |       1033 |   modular_app.core.app_session
import time:       688 |        688 |     modular_app.ui.ui_icons
import time:      1245 |       1932 |   modular_app.ui.stitch_widget
import time:      7271 |       7271 |   modular_app.ui.viewer_widget
import time:      1591 |       1591 |   modular_app.ui.workspace_widget
import time:      1000 |       1000 |   modular_app.ui.workspace_actions
import time:       499 |        499 |   modular_app.ui.viewer_actions
import time:       636 |        636 |   modular_app.ui.viewer_records
import time:       754 |        754 |   modular_app.ui.viewer_core
import time:       584 |        584 |     modular_app.performance_utils
import time:      1345 |       1929 |   modular_app.ui.stitch_io
import time:     53122 |     615072 | main
import time:       963 |        963 |     signal
import time:       223 |        223 |     fcntl
import time:        61 |         61 |     msvcrt
import time:      1825 |       3070 |   subprocess
import time:       722 |        722 |     modular_app.config
import time:      1145 |       1867 |   modular_app.config.paths
import time:      1732 |       1732 |             _sqlite3
import time:       841 |       2573 |           sqlite3.dbapi2
import time:      1007 |       3579 |         sqlite3
import time:      1468 |       5047 |       modular_app.database.exam_repository
import time:      1140 |       6186 |     modular_app.database
import time:        36 |       6222 |   modular_app.database.exam_repository
import time:      2193 |       2193 |       modular_app.timeline.exam_timeline
import time:      1121 |       3313 |     modular_app.timeline
import time:        41 |       3354 |   modular_app.timeline.exam_timeline
import time:       898 |        898 |   modular_app.timeline.comparison_sessions
import time:       493 |        493 |       modular_app.services
import time:       776 |       1269 |     modular_app.services.measurement_labels
import time:      1160 |       2429 |   modular_app.timeline.cobb_history
import time:       909 |        909 |   modular_app.timeline.follow_up_summary
import time:       904 |        904 |   modular_app.timeline.cobb_trend
import time:       596 |        596 |   modular_app.timeline.audit_history
import time:       763 |        763 |   modular_app.timeline.patient_manager
import time:      1398 |       1398 |   modular_app.timeline.quality_check
import time:      1445 |       1445 |   modular_app.timeline.patient_card
import time:       860 |        860 |   modular_app.timeline.follow_up_alerts
import time:      1012 |       1012 |   modular_app.timeline.user_manager
import time:       624 |        624 |   modular_app.timeline.vertebra_labels
import time:       775 |        775 |   modular_app.timeline.image_notes
import time:       898 |        898 |   modular_app.timeline.follow_up_schedule
import time:       682 |        682 |       pacs
import time:      1712 |       2394 |     pacs.client
import time:      2090 |       4483 |   modular_app.ui.pacs_dialog
import time:       619 |        619 |   modular_app.ui.license_dialog
import time:      3095 |       3095 |         ai.model_runtime
import time:      1854 |       1854 |         ai.training_dataset
import time:      1559 |       6507 |       ai
import time:        30 |       6537 |     ai.model_runtime
import time:      1546 |       8083 |   modular_app.ui.ai_assistant_dialog
import time:      1475 |       1475 |     modular_app.services.system_services
import time:      1236 |       2710 |   modular_app.ui.ai_training_dialog
import time:      1296 |       1296 |   modular_app.ui.user_guide_dialog
import time:      1488 |       1488 |   modular_app.ui.image_quality_dialog
import time:      1636 |       1636 |   modular_app.services.license_policy
import time:       959 |        959 |     modular_app.security
import time:       401 |        401 |     modular_app.security.integrity_identity
import time:      1683 |       3042 |   modular_app.security.integrity
import time:      9746 |      61116 | modular_app.run_modular
QFontDatabase: Cannot find font directory C:/Users/yusuf/AppData/Local/Programs/Python/Python313/Lib/site-packages/PySide6/lib/fonts.
Note that Qt no longer ships fonts. Deploy some (from https://dejavu-fonts.github.io/ for example) or switch to fontconfig.
